# Совпавшие CIDR: 18
13.192.0.0/11	# aws_plain.txt  [13.204.79.99]
13.32.0.0/15	# aws_plain.txt  [13.33.235.16, 13.33.235.4]
143.204.0.0/16	# aws_plain.txt  [143.204.55.128]
15.160.0.0/15	# aws_plain.txt  [15.161.153.116, 15.161.97.45]
15.181.192.0/19	# aws_plain.txt  [15.181.205.209, 15.181.208.156]
15.254.0.0/16	# aws_plain.txt  [15.254.1.132, 15.254.2.171]
16.176.0.0/14	# aws_plain.txt  [16.176.210.155]
18.160.0.0/13	# aws_plain.txt  [18.165.140.113, 18.165.140.12, 18.165.140.126, 18.165.140.4, 18.165.140.57, 18.165.140.84, 18.165.140.85, 18.165.140.91]
18.64.0.0/14	# aws_plain.txt  [18.66.233.72]
3.160.0.0/13	# aws_plain.txt  [3.164.68.24]
3.64.0.0/11	# aws_plain.txt  [3.80.102.200]
44.192.0.0/10	# aws_plain.txt  [44.241.61.155, 44.247.35.25]
52.0.0.0/11	# aws_plain.txt  [52.19.199.141, 52.24.169.88]
52.64.0.0/12	# aws_plain.txt  [52.66.83.8]
52.88.0.0/14	# aws_plain.txt  [52.91.98.128]
63.32.0.0/14	# aws_plain.txt  [63.33.48.100]
64.187.128.0/20	# aws_plain.txt  [64.187.133.159, 64.187.136.5]
96.0.0.0/18	# aws_plain.txt  [96.0.16.98, 96.0.22.195]
